OID_,gasht_name_str,ZONE_CODE,COUNT,AREA,MEAN
320,16396,320,646.000000000000000,581400.000000000000000,1301.552196018467384
321,13978,321,754.000000000000000,678600.000000000000000,1415.364363693114910
322,17659,322,233.000000000000000,209700.000000000000000,1144.496291262908926
323,18949,323,482.000000000000000,433800.000000000000000,1203.271728515625000
324,16859,324,188.000000000000000,169200.000000000000000,1419.693847656250000
325,13167,325,239.000000000000000,215100.000000000000000,1263.554206369312169
326,19199,326,193.000000000000000,173700.000000000000000,1388.137232963285442
327,13359,327,66.000000000000000,59400.000000000000000,1192.787719726562500
328,18587,328,491.000000000000000,441900.000000000000000,1155.554809570312500
329,11316,329,219.000000000000000,197100.000000000000000,1246.728759765625000
330,11596,330,64.000000000000000,57600.000000000000000,1183.520774841308594
331,13716,331,812.000000000000000,730800.000000000000000,1222.279052734375000
332,15966,332,36.000000000000000,32400.000000000000000,1246.728759765625000
333,16389,333,109.000000000000000,98100.000000000000000,1209.914428710937500
334,14517,334,247.000000000000000,222300.000000000000000,1310.918945312500000
335,15718,335,50.000000000000000,45000.000000000000000,1246.728759765625000
336,11748,336,62.000000000000000,55800.000000000000000,1144.945434570312500
337,15147,337,103.000000000000000,92700.000000000000000,1391.481567382812500
338,14619,338,1110.000000000000000,999000.000000000000000,1522.276489257812500
339,14599,339,328.000000000000000,295200.000000000000000,1310.918945312500000
340,11896,340,150.000000000000000,135000.000000000000000,1189.184615885417543
341,15996,341,122.000000000000000,109800.000000000000000,1246.728759765625000
342,16359,342,155.000000000000000,139500.000000000000000,1405.312061334425152
343,16617,343,675.000000000000000,607500.000000000000000,1353.948486328125000
344,11616,344,80.000000000000000,72000.000000000000000,1181.288452148437500
345,19677,345,316.000000000000000,284400.000000000000000,1386.011596679687500
346,17397,346,105.000000000000000,94500.000000000000000,1202.670043945312500
347,17969,347,101.000000000000000,90900.000000000000000,1155.344722936649077
348,13678,348,347.000000000000000,312300.000000000000000,1216.077790801737137
349,19586,349,244.000000000000000,219600.000000000000000,1347.784667968750000
350,19696,350,80.000000000000000,72000.000000000000000,1386.216720581054688
351,15568,351,38.000000000000000,34200.000000000000000,1353.948486328125000
352,16447,352,302.000000000000000,271800.000000000000000,1207.851458214764989
353,13997,353,859.000000000000000,773100.000000000000000,1438.994018554687500
354,13981,354,2967.000000000000000,2670300.000000000000000,1762.361511785895345
355,19987,355,885.000000000000000,796500.000000000000000,1483.488978637007904
356,11817,356,119.000000000000000,107100.000000000000000,1144.945434570312500
357,16986,357,10134.000000000000000,9120600.000000000000000,1406.803957523387908
358,11519,358,85.000000000000000,76500.000000000000000,1209.914428710937500
359,15437,359,72.000000000000000,64800.000000000000000,1353.948486328125000
360,14378,360,1105.000000000000000,994500.000000000000000,1486.961059570312500
361,11968,361,93.000000000000000,83700.000000000000000,1189.572870726227166
362,13699,362,254.000000000000000,228600.000000000000000,1222.279052734375000
363,14967,363,3388.000000000000000,3049200.000000000000000,1638.826263715974392
364,15169,364,114.000000000000000,102600.000000000000000,1391.481567382812500
365,16897,365,1840.000000000000000,1656000.000000000000000,1414.170555313773775
366,13178,366,391.000000000000000,351900.000000000000000,1201.724767660546149
367,14979,367,13472.000000000000000,12124800.000000000000000,1783.522054160292782
368,15948,368,96.000000000000000,86400.000000000000000,1246.728759765625000
369,19938,369,301.000000000000000,270900.000000000000000,1482.335937500000000
370,11659,370,110.000000000000000,99000.000000000000000,1181.288452148437500
371,17417,371,144.000000000000000,129600.000000000000000,1202.670043945312500
372,16168,372,148.000000000000000,133200.000000000000000,1209.914428710937500
373,16778,373,477.000000000000000,429300.000000000000000,1423.271362304687500
374,17996,374,142.000000000000000,127800.000000000000000,1148.905271718200083
375,14346,375,180.000000000000000,162000.000000000000000,1391.481567382812500
376,11939,376,110.000000000000000,99000.000000000000000,1181.288452148437500
377,16388,377,155.000000000000000,139500.000000000000000,1209.914428710937500
378,13119,378,60.000000000000000,54000.000000000000000,1291.409667968750000
379,16618,379,491.000000000000000,441900.000000000000000,1353.948486328125000
380,13966,380,155.000000000000000,139500.000000000000000,1347.724731445312500
381,14986,381,300.000000000000000,270000.000000000000000,1575.163923339843450
382,15837,382,145.000000000000000,130500.000000000000000,1246.728759765625000
383,13549,383,113.000000000000000,101700.000000000000000,1203.227129640832800
384,13387,384,126.000000000000000,113400.000000000000000,1192.787719726562500
385,17378,385,131.000000000000000,117900.000000000000000,1202.670043945312500
386,13148,386,69.000000000000000,62100.000000000000000,1291.409667968750000
387,17146,387,233.000000000000000,209700.000000000000000,1209.914428710937500
388,19189,388,140.000000000000000,126000.000000000000000,1389.606148856027403
389,13597,389,361.000000000000000,324900.000000000000000,1192.787719726562500
390,14488,390,187.000000000000000,168300.000000000000000,1486.961059570312500
391,15857,391,112.000000000000000,100800.000000000000000,1246.728759765625000
392,15646,392,77.000000000000000,69300.000000000000000,1246.728759765625000
393,14686,393,517.000000000000000,465300.000000000000000,1518.780273437500000
394,14336,394,135.000000000000000,121500.000000000000000,1355.025304723669933
395,13158,395,112.000000000000000,100800.000000000000000,1248.324506487165081
396,16656,396,465.000000000000000,418500.000000000000000,1353.948486328125000
397,11777,397,70.000000000000000,63000.000000000000000,1180.250080217634377
398,16879,398,2886.000000000000000,2597400.000000000000000,1413.586709004677004
399,16158,399,127.000000000000000,114300.000000000000000,1209.914428710937500
400,14466,400,109.000000000000000,98100.000000000000000,1486.961059570312500
401,17358,401,2016.000000000000000,1814400.000000000000000,1209.616172790526434
402,19767,402,246.000000000000000,221400.000000000000000,1670.397583007812500
403,15457,403,32.000000000000000,28800.000000000000000,1353.948486328125000
404,19947,404,148.000000000000000,133200.000000000000000,1387.970437539590648
405,11439,405,82.000000000000000,73800.000000000000000,1246.728759765625000
406,13698,406,261.000000000000000,234900.000000000000000,1222.279052734375000
407,17738,407,104.000000000000000,93600.000000000000000,1144.945434570312500
408,15146,408,80.000000000000000,72000.000000000000000,1391.481567382812500
409,16186,409,103.000000000000000,92700.000000000000000,1209.914428710937500
410,13188,410,504.000000000000000,453600.000000000000000,1291.409667968750000
411,14467,411,90.000000000000000,81000.000000000000000,1486.961059570312500
412,14538,412,327.000000000000000,294300.000000000000000,1310.918945312500000
413,17368,413,112.000000000000000,100800.000000000000000,1202.670043945312500
414,15766,414,315.000000000000000,283500.000000000000000,1386.426707434275613
415,16419,415,202.000000000000000,181800.000000000000000,1209.914428710937500
416,11737,416,72.000000000000000,64800.000000000000000,1144.945434570312500
417,15697,417,84.000000000000000,75600.000000000000000,1353.948486328125000
418,14687,418,330.000000000000000,297000.000000000000000,1518.780273437500000
