OID_,gasht_name_str,ZONE_CODE,COUNT,AREA,MEDIAN
321,13978,321,743.000000000000000,668700.000000000000000,0.075408190488815
322,17659,322,232.000000000000000,208800.000000000000000,0.027759848162532
323,18949,323,484.000000000000000,435600.000000000000000,0.054580507799983
324,16859,324,188.000000000000000,169200.000000000000000,0.041605712845922
325,13167,325,239.000000000000000,215100.000000000000000,0.030817963182926
326,19199,326,197.000000000000000,177300.000000000000000,0.061818290501833
327,13359,327,67.000000000000000,60300.000000000000000,0.043227009475231
328,18587,328,493.000000000000000,443700.000000000000000,0.064175672829151
329,11316,329,215.000000000000000,193500.000000000000000,0.063849434256554
330,11596,330,65.000000000000000,58500.000000000000000,0.031413745135069
331,13716,331,809.000000000000000,728100.000000000000000,0.037046615034342
332,15966,332,37.000000000000000,33300.000000000000000,0.034446537494659
333,16389,333,108.000000000000000,97200.000000000000000,0.028879361227155
334,14517,334,252.000000000000000,226800.000000000000000,0.031029546633363
335,15718,335,55.000000000000000,49500.000000000000000,0.023562284186482
336,11748,336,62.000000000000000,55800.000000000000000,0.042671594768763
337,15147,337,103.000000000000000,92700.000000000000000,0.034110039472580
338,14619,338,1115.000000000000000,1003500.000000000000000,0.085523553192616
339,14599,339,318.000000000000000,286200.000000000000000,0.045653389766812
340,11896,340,146.000000000000000,131400.000000000000000,0.059220202267170
341,15996,341,125.000000000000000,112500.000000000000000,0.018653608858585
342,16359,342,157.000000000000000,141300.000000000000000,0.033836368471384
343,16617,343,673.000000000000000,605700.000000000000000,0.046652629971504
344,11616,344,81.000000000000000,72900.000000000000000,0.008794293738902
345,19677,345,320.000000000000000,288000.000000000000000,0.063705600798130
346,17397,346,102.000000000000000,91800.000000000000000,0.040553260594606
347,17969,347,98.000000000000000,88200.000000000000000,0.032363308593631
348,13678,348,345.000000000000000,310500.000000000000000,0.046710968017578
349,19586,349,245.000000000000000,220500.000000000000000,0.051604531705379
350,19696,350,80.000000000000000,72000.000000000000000,0.059417076408863
351,15568,351,42.000000000000000,37800.000000000000000,0.045875828713179
352,16447,352,306.000000000000000,275400.000000000000000,0.034418871626258
353,13997,353,862.000000000000000,775800.000000000000000,0.035227719694376
354,13981,354,2969.000000000000000,2672100.000000000000000,0.055251512676477
355,19987,355,886.000000000000000,797400.000000000000000,0.055569792166352
356,11817,356,116.000000000000000,104400.000000000000000,0.028051620349288
357,16986,357,10137.000000000000000,9123300.000000000000000,0.119126982986927
